Date,Close_EURMXN=X,Close_MXN=X,High_EURMXN=X,High_MXN=X,Low_EURMXN=X,Low_MXN=X,Open_EURMXN=X,Open_MXN=X,Volume_EURMXN=X,Volume_MXN=X
2020-01-02,21.212900161743164,18.898799896240234,21.21150016784668,18.923429489135742,21.081899642944336,18.84239959716797,21.20829963684082,18.905250549316406,0,0
2020-01-03,21.046199798583984,18.830299377441406,21.166400909423828,19.02454948425293,21.035999298095703,18.816600799560547,21.04705047607422,18.830799102783203,0,0
2020-01-06,21.144399642944336,18.944759368896484,21.154499053955078,18.946399688720703,21.021099090576172,18.78660011291504,21.14579963684082,18.94515037536621,0,0
2020-01-07,21.097000122070312,18.841449737548828,21.108999252319336,18.92608070373535,21.01300048828125,18.79010009765625,21.095300674438477,18.8435001373291,0,0
2020-01-08,21.16200065612793,18.96419906616211,21.21030044555664,19.005430221557617,20.85650062561035,18.755399703979492,21.17300033569336,18.968700408935547,0,0
2020-01-09,20.920499801635742,18.81399917602539,20.935510635375977,18.84351921081543,20.84000015258789,18.748300552368164,20.92329978942871,18.826549530029297,0,0
2020-01-10,20.93494987487793,18.834800720214844,20.945999145507812,18.848249435424805,20.825899124145508,18.743200302124023,20.935199737548828,18.846399307250977,0,0
2020-01-13,20.89539909362793,18.79762077331543,20.974899291992188,18.85759925842285,20.8656005859375,18.74049949645996,20.897199630737305,18.799549102783203,0,0
2020-01-14,20.936899185180664,18.79010009765625,21.017200469970703,18.866100311279297,20.8705997467041,18.774599075317383,20.93470001220703,18.790199279785156,0,0
2020-01-15,20.926700592041016,18.793800354003906,20.999900817871094,18.821420669555664,20.895299911499023,18.75349998474121,20.92840003967285,18.794200897216797,0,0
2020-01-16,20.959800720214844,18.782699584960938,20.994300842285156,18.807849884033203,20.897499084472656,18.76810073852539,20.962499618530273,18.796749114990234,0,0
2020-01-17,20.909799575805664,18.76300048828125,20.917999267578125,18.785669326782227,20.768699645996094,18.711599349975586,20.910999298095703,18.77754020690918,0,0
2020-01-20,20.697900772094727,18.656299591064453,20.719999313354492,18.689380645751953,20.67169952392578,18.63050079345703,20.699899673461914,18.656299591064453,0,0
2020-01-21,20.71179962158203,18.65369987487793,20.823699951171875,18.741649627685547,20.698999404907227,18.6476993560791,20.71150016784668,18.653499603271484,0,0
2020-01-22,20.8080997467041,18.7593994140625,20.82699966430664,18.787450790405273,20.66790008544922,18.652700424194336,20.805099487304688,18.768600463867188,0,0
2020-01-23,20.748899459838867,18.700410842895508,20.813600540161133,18.846630096435547,20.710399627685547,18.67340087890625,20.74839973449707,18.6875,0,0
2020-01-24,20.738300323486328,18.74920082092285,20.79949951171875,18.858720779418945,20.681699752807617,18.713300704956055,20.732999801635742,18.755250930786133,0,0
